Player,Team,Pos,MP,AST%,USG%,TOV%,BadPass,LostBall,PGA,3PAr,3PAr+,3P%,TS%,TS+,FTr,FTr+,And1,ORB%,DRB%,TRB%,BLK%,STL%,DBPM,PG%,SG%,SF%,PF%,C%,Cluster,PCA1,PCA2,Primary Creator_Score,Shooting Wing_Score,Rim Protector_Score,Stretch Big_Score,Defensive Wing_Score,Interior Finisher_Score
Grayson Allen,PHO,SG,28.8,19.9,23.8,10.1,48,22,479,0.682,164.0,0.349,0.568,98.0,0.252,96.0,11,2.7,9.2,5.9,0.8,2.3,0.2,31,53,15,0,0,7,-2.343826629273506,0.912260289232374,48.0,79.5,6.1,43.9,41.3,25.3
Derrick White,BOS,SG,34.1,22.2,22.0,10.1,77,43,1012,0.578,139.0,0.327,0.529,91.0,0.184,70.0,20,3.7,10.4,7.1,3.8,1.7,1.0,22,75,4,0,0,7,-1.6228424091492797,2.26323147106905,53.8,71.9,21.3,42.9,41.4,27.2
Immanuel Quickley,TOR,PG,31.9,26.4,21.1,9.3,63,22,975,0.526,127.0,0.374,0.577,99.0,0.229,87.0,24,1.9,12.5,7.2,0.2,2.0,0.6,80,21,0,0,0,2,-1.5906489719702268,2.539735670026092,69.8,58.1,7.4,33.0,29.9,34.9
Matas Buzelis,CHI,PF,29.2,10.3,22.8,13.0,60,85,385,0.514,124.0,0.349,0.586,101.0,0.247,94.0,21,3.7,17.3,10.6,4.5,1.1,-0.4,0,0,12,80,8,5,0.734267213315393,1.005309408435359,28.6,55.5,34.0,76.3,19.6,36.9
Jrue Holiday,POR,PG,29.4,32.1,23.5,16.2,91,45,759,0.511,123.0,0.378,0.573,99.0,0.148,56.0,7,4.9,12.3,8.5,0.3,1.7,-0.5,75,25,0,0,0,2,-1.6432742887232488,2.809395661166729,68.6,59.1,8.8,33.4,23.2,25.4
Alex Sarr,WAS,C,27.2,15.9,25.7,10.2,26,40,332,0.229,55.0,0.333,0.544,93.0,0.223,84.0,18,8.5,20.9,14.6,6.4,1.4,-0.1,0,0,0,1,99,1,2.851157045563052,-0.3603900283757851,32.0,33.1,81.9,65.7,16.6,43.7
Dariq Whitehead,MEM,SF,30.5,7.5,24.1,9.4,7,2,22,0.645,155.0,0.317,0.51,88.0,0.075,29.0,1,1.2,13.2,7.1,0.0,1.0,-4.4,0,1,4,25,70,0,-2.8634544261226877,-2.3351756836902755,23.9,54.6,30.6,73.4,0.0,7.2
Aaron Gordon,DEN,PF,27.9,13.7,21.9,7.5,22,9,230,0.394,95.0,0.389,0.62,107.0,0.41,155.0,17,6.0,16.8,11.6,0.9,1.0,-1.2,0,0,0,79,21,5,1.2578871301263366,-0.7935156700325758,27.5,48.8,27.1,66.0,11.6,51.2
VJ Edgecombe,PHI,SG,35.0,17.4,20.1,11.0,68,51,754,0.409,98.0,0.354,0.54,93.0,0.176,67.0,19,5.0,12.7,8.8,1.4,2.0,-0.1,28,72,0,0,0,7,-1.231305210626,1.844518639827456,43.8,61.5,17.7,27.2,38.0,33.2
Domantas Sabonis,SAC,C,29.7,21.3,23.0,16.7,13,20,174,0.122,29.0,0.185,0.59,102.0,0.348,132.0,8,12.3,31.0,21.4,0.7,1.5,-0.2,0,0,0,18,82,1,4.4468039876503935,-0.8711551363160775,27.1,22.8,62.8,42.7,18.3,55.0
Jabari Smith Jr.,HOU,PF,35.1,7.3,18.2,9.0,39,40,352,0.501,121.0,0.363,0.57,98.0,0.215,81.0,15,4.5,17.0,10.8,2.4,1.0,-0.2,0,0,8,83,10,5,-0.081124970706655,-0.7588504829903544,22.6,51.4,27.2,73.1,20.4,32.3
Collin Sexton,2TM,SG,23.7,21.7,25.9,14.2,56,56,524,0.376,91.0,0.401,0.615,106.0,0.344,130.0,29,2.8,7.6,5.3,0.6,2.3,-0.5,35,54,11,0,0,4,-0.5362543301674285,2.89179568568668,48.8,67.4,10.3,22.2,36.2,51.0
Jarrett Allen,CLE,C,27.1,9.7,19.9,10.4,26,31,235,0.019,5.0,0.1,0.669,115.0,0.494,188.0,15,10.5,24.0,17.2,2.9,1.7,0.4,0,0,0,0,100,3,5.824287127929979,-0.737661619280551,18.4,17.6,76.4,31.9,23.5,72.9
Jaime Jaquez Jr.,MIA,SF,28.3,24.0,22.3,13.1,67,59,861,0.2,48.0,0.317,0.57,98.0,0.236,90.0,32,4.7,13.7,9.2,0.9,1.1,-0.1,1,12,38,50,0,4,0.5238081548654465,2.5834171863548767,42.4,46.1,19.3,27.0,33.6,50.5
Andrew Wiggins,MIA,SF,30.3,12.3,19.7,10.3,45,39,449,0.406,98.0,0.414,0.586,101.0,0.197,75.0,18,5.7,10.8,8.3,3.0,1.7,0.5,1,16,49,35,0,5,-0.4425065774180035,0.0318799844878013,27.9,66.6,24.4,46.3,46.4,37.8
Naji Marshall,DAL,SF,29.5,16.4,20.5,11.1,61,28,580,0.259,63.0,0.291,0.592,102.0,0.365,139.0,34,3.2,13.6,8.4,0.2,1.8,0.1,0,22,57,20,0,4,0.492002740430025,1.5487895172321973,31.7,57.7,15.6,16.8,49.4,56.6
Onyeka Okongwu,ATL,C,31.0,13.9,19.5,11.8,41,34,558,0.445,107.0,0.376,0.592,102.0,0.235,89.0,20,6.5,20.3,13.3,3.1,1.7,0.8,0,0,0,3,97,1,1.8043120742261185,-0.1588797157894763,30.4,48.3,62.5,75.6,25.2,40.6
Russell Westbrook,SAC,SF,29.0,34.3,25.9,18.5,146,47,951,0.452,109.0,0.338,0.528,91.0,0.218,83.0,13,4.7,16.6,10.5,0.6,2.2,-1.0,8,48,38,7,0,4,-1.0107290513264284,3.914491959536063,57.0,69.5,13.2,31.9,43.0,30.1
Nikola Vučević,2TM,C,28.4,17.7,21.4,9.2,49,20,524,0.339,82.0,0.369,0.574,99.0,0.116,44.0,5,7.5,23.9,15.8,2.0,1.0,0.1,0,0,0,1,99,1,1.4119007717896297,-0.7927232350142489,33.7,41.4,63.3,66.8,16.9,30.1
Anthony Black,ORL,PG,29.8,18.5,22.2,13.1,70,44,554,0.389,94.0,0.333,0.549,94.0,0.299,114.0,32,2.7,11.6,7.1,2.1,2.3,0.7,49,50,1,0,0,4,-0.4756607311736776,2.504469654156873,47.7,55.2,18.7,24.8,37.9,44.9
Kennedy Chandler,UTA,PG,32.3,29.4,20.7,12.9,14,9,163,0.277,67.0,0.395,0.529,91.0,0.314,119.0,5,1.8,9.7,5.6,0.5,1.5,-3.1,100,0,0,0,0,2,-1.503053485541086,0.7934754320521007,58.6,35.7,11.1,14.3,8.3,34.0
Brice Sensabaugh,UTA,SF,23.5,12.4,24.9,11.6,66,34,337,0.516,124.0,0.367,0.59,102.0,0.235,89.0,26,3.4,11.0,7.1,0.7,1.4,-3.0,0,24,56,20,1,0,-1.4661992520425469,0.8062685223979837,31.5,77.3,11.9,40.7,32.7,38.6
Ayo Dosunmu,2TM,SG,27.3,19.6,20.2,10.6,42,37,611,0.375,90.0,0.439,0.63,108.0,0.194,74.0,23,2.7,10.7,6.8,0.8,1.5,-0.3,29,58,12,0,0,7,-1.0764607750591657,1.3185899794672646,42.9,69.4,13.3,25.8,35.7,41.6
Kyshawn George,WAS,SF,29.0,22.4,22.8,16.5,64,47,510,0.451,109.0,0.381,0.559,96.0,0.227,86.0,13,3.3,15.9,9.5,2.7,1.6,-0.6,0,1,47,49,3,5,-0.3287630850932866,1.1690935802766058,37.0,62.3,23.2,54.7,36.1,31.6
